Time (UTCG),Power (W),Solar Intensity,Effective Area (m^2),Irradiance (W/m^2)
All,,,,
00:05:52.0,8.713,1,0.022984,1353.892149
00:05:53.0,8.707,1,0.022967,1353.961274
00:05:54.0,8.702,1,0.022954,1353.950136
00:05:55.0,8.695,1,0.022938,1353.804666
00:05:56.0,8.688,1,0.022919,1353.836181
00:05:57.0,8.684,1,0.022907,1353.921758
00:05:58.0,8.679,1,0.022894,1353.910569
00:05:59.0,8.675,1,0.022883,1353.937109
00:06:00.0,8.671,1,0.022874,1353.845289
00:06:01.0,8.668,1,0.022865,1353.909594
00:06:02.0,8.664,1,0.022856,1353.817691
00:06:03.0,8.658,1,0.022839,1353.887148
00:06:04.0,8.654,1,0.022828,1353.91374
00:06:05.0,8.65,1,0.022818,1353.881021
00:06:06.0,8.641,1,0.022794,1353.896389
00:06:07.0,8.637,1,0.022783,1353.923038
00:06:08.0,8.629,1,0.022762,1353.916929
00:06:09.0,8.624,1,0.022749,1353.905666
00:06:10.0,8.615,1,0.022727,1353.80196
00:06:11.0,8.609,1,0.022711,1353.812187
00:06:12.0,8.603,1,0.022694,1353.882083
00:06:13.0,8.598,1,0.022681,1353.870767
00:06:14.0,8.592,1,0.022666,1353.821331
00:06:15.0,8.586,1,0.022649,1353.891373
00:06:16.0,8.582,1,0.022638,1353.918191
00:06:17.0,8.576,1,0.022623,1353.868692
00:06:18.0,8.572,1,0.022612,1353.89553
00:06:19.0,8.567,1,0.022598,1353.944091
00:06:20.0,8.559,1,0.022579,1353.818023
00:06:21.0,8.557,1,0.022572,1353.92142
00:06:22.0,8.554,1,0.022564,1353.926609
00:06:23.0,8.544,1,0.022538,1353.903883
00:06:24.0,8.54,1,0.022529,1353.810644
00:06:25.0,8.534,1,0.022512,1353.881105
00:06:26.0,8.531,1,0.022504,1353.886293
00:06:27.0,8.521,1,0.022479,1353.803232
00:06:28.0,8.515,1,0.022461,1353.934121
00:06:29.0,8.512,1,0.022455,1353.818749
00:06:30.0,8.507,1,0.022441,1353.867602
00:06:31.0,8.5,1,0.022422,1353.899869
00:06:32.0,8.492,1,0.022402,1353.833204
00:06:33.0,8.487,1,0.022388,1353.882182
00:06:34.0,8.482,1,0.022376,1353.810205
00:06:35.0,8.477,1,0.022362,1353.859225
00:06:36.0,8.469,1,0.02234,1353.913544
00:06:37.0,8.464,1,0.022327,1353.902066
00:06:38.0,8.461,1,0.022319,1353.907305
00:06:39.0,8.456,1,0.022305,1353.956512
00:06:40.0,8.447,1,0.022282,1353.911549
00:06:41.0,8.44,1,0.022265,1353.822463
00:06:42.0,8.439,1,0.02226,1353.966115
00:06:43.0,8.433,1,0.022245,1353.915808
00:06:44.0,8.424,1,0.022222,1353.870682
00:06:45.0,8.418,1,0.022206,1353.88119
00:06:46.0,8.414,1,0.022194,1353.969541
00:06:47.0,8.41,1,0.022185,1353.874883
00:06:48.0,8.401,1,0.02216,1353.951779
00:06:49.0,8.393,1,0.022139,1353.945526
00:06:50.0,8.388,1,0.022126,1353.933963
00:06:51.0,8.387,1,0.022123,1353.956128
00:06:52.0,8.379,1,0.022104,1353.827362
00:06:53.0,8.371,1,0.022083,1353.820974
00:06:54.0,8.366,1,0.022069,1353.870652
00:06:55.0,8.365,1,0.022067,1353.831513
00:06:56.0,8.357,1,0.022045,1353.886531
00:06:57.0,8.349,1,0.022024,1353.880183
00:06:58.0,8.343,1,0.022009,1353.829278
00:06:59.0,8.341,1,0.022004,1353.812294
00:07:00.0,8.336,1,0.02199,1353.862145
00:07:01.0,8.328,1,0.021969,1353.855758
00:07:02.0,8.317,1,0.02194,1353.854669
00:07:03.0,8.315,1,0.021936,1353.77592
00:07:04.0,8.308,1,0.021916,1353.870623
00:07:05.0,8.301,1,0.021898,1353.841838
00:07:06.0,8.292,1,0.021874,1353.857809
00:07:07.0,8.287,1,0.021861,1353.846053
00:07:08.0,8.285,1,0.021856,1353.828958
00:07:09.0,8.276,1,0.021831,1353.906961
00:07:10.0,8.271,1,0.021818,1353.895211
00:07:11.0,8.267,1,0.021807,1353.923052
00:07:12.0,8.262,1,0.021794,1353.911299
00:07:13.0,8.255,1,0.021776,1353.882387
00:07:14.0,8.249,1,0.021761,1353.830903
00:07:15.0,8.241,1,0.021739,1353.886695
00:07:16.0,8.241,1,0.021738,1353.948977
00:07:17.0,8.232,1,0.021715,1353.902832
00:07:18.0,8.221,1,0.021686,1353.901793
00:07:19.0,8.214,1,0.021667,1353.935214
00:07:20.0,8.211,1,0.02166,1353.878116
00:07:21.0,8.204,1,0.021643,1353.786444
00:07:22.0,8.198,1,0.021625,1353.922378
00:07:23.0,8.192,1,0.021609,1353.933216
00:07:24.0,8.186,1,0.021593,1353.944069
00:07:25.0,8.181,1,0.021582,1353.806744
00:07:26.0,8.174,1,0.021562,1353.90303
00:07:27.0,8.167,1,0.021545,1353.81096
00:07:28.0,8.165,1,0.021538,1353.919319
00:07:29.0,8.161,1,0.02153,1353.758875
00:07:30.0,8.154,1,0.021509,1353.918293
00:07:31.0,8.145,1,0.021487,1353.808615
00:07:32.0,8.138,1,0.021467,1353.90533
00:07:33.0,8.134,1,0.021456,1353.933632
00:07:34.0,8.124,1,0.02143,1353.909739
00:07:35.0,8.114,1,0.021405,1353.822538
00:07:36.0,8.108,1,0.021388,1353.896711
00:07:37.0,8.102,1,0.021372,1353.90765
00:07:38.0,8.095,1,0.021354,1353.878163
00:07:39.0,8.087,1,0.021334,1353.80814
00:07:40.0,8.081,1,0.021318,1353.81904
00:07:41.0,8.076,1,0.021305,1353.806953
00:07:42.0,8.074,1,0.021299,1353.852964
00:07:43.0,8.066,1,0.021278,1353.84636
00:07:44.0,8.062,1,0.021266,1353.938547
00:07:45.0,8.058,1,0.021257,1353.839744
00:07:46.0,8.054,1,0.021246,1353.868291
00:07:47.0,8.046,1,0.021226,1353.797903
00:07:48.0,8.041,1,0.021211,1353.913401
00:07:49.0,8.034,1,0.021194,1353.819814
00:07:50.0,8.028,1,0.021177,1353.894724
00:07:51.0,8.021,1,0.021158,1353.928943
00:07:52.0,8.011,1,0.021132,1353.904708
00:07:53.0,8.005,1,0.021116,1353.915785
00:07:54.0,7.996,1,0.021092,1353.932432
00:07:55.0,7.986,1,0.021066,1353.908125
00:07:56.0,7.974,1,0.021035,1353.866006
00:07:57.0,7.97,1,0.021024,1353.894868
00:07:58.0,7.962,1,0.021004,1353.823761
00:07:59.0,7.957,1,0.02099,1353.875995
00:08:00.0,7.95,1,0.020972,1353.845944
00:08:01.0,7.945,1,0.020958,1353.898273
00:08:02.0,7.94,1,0.020947,1353.75676
00:08:03.0,7.936,1,0.020936,1353.785687
00:08:04.0,7.929,1,0.020916,1353.884927
00:08:05.0,7.923,1,0.020902,1353.766557
00:08:06.0,7.92,1,0.020893,1353.836897
00:08:07.0,7.916,1,0.020881,1353.930778
00:08:08.0,7.909,1,0.020864,1353.835725
00:08:09.0,7.904,1,0.02085,1353.888318
00:08:10.0,7.896,1,0.020829,1353.881607
00:08:11.0,7.886,1,0.020804,1353.791853
00:08:12.0,7.878,1,0.020782,1353.850173
00:08:13.0,7.868,1,0.020756,1353.8254
00:08:14.0,7.86,1,0.020734,1353.88389
00:08:15.0,7.854,1,0.020717,1353.960516
00:08:16.0,7.845,1,0.020694,1353.912107
00:08:17.0,7.839,1,0.02068,1353.792484
00:08:18.0,7.829,1,0.020653,1353.833065
00:08:19.0,7.822,1,0.020635,1353.802485
00:08:20.0,7.814,1,0.020614,1353.795617
00:08:21.0,7.809,1,0.020601,1353.783103
00:08:22.0,7.804,1,0.020588,1353.770574
00:08:23.0,7.799,1,0.020572,1353.955446
00:08:24.0,7.795,1,0.020562,1353.919157
00:08:25.0,7.789,1,0.020547,1353.864659
00:08:26.0,7.784,1,0.020533,1353.918083
00:08:27.0,7.776,1,0.020514,1353.779301
00:08:28.0,7.772,1,0.020502,1353.874883
00:08:29.0,7.764,1,0.020481,1353.868045
00:08:30.0,7.758,1,0.020466,1353.813293
00:08:31.0,7.749,1,0.020442,1353.830349
00:08:32.0,7.743,1,0.020426,1353.841742
00:08:33.0,7.732,1,0.020397,1353.840551
00:08:34.0,7.726,1,0.02038,1353.918407
00:08:35.0,7.717,1,0.020358,1353.802647
00:08:36.0,7.708,1,0.020333,1353.886363
00:08:37.0,7.701,1,0.020315,1353.85535
00:08:38.0,7.695,1,0.020298,1353.933533
00:08:39.0,7.688,1,0.020282,1353.769
00:08:40.0,7.682,1,0.020264,1353.914049
00:08:41.0,7.674,1,0.020245,1353.773418
00:08:42.0,7.669,1,0.020231,1353.827577
00:08:43.0,7.661,1,0.02021,1353.820598
00:08:44.0,7.654,1,0.02019,1353.923442
00:08:45.0,7.646,1,0.020169,1353.916548
00:08:46.0,7.638,1,0.020149,1353.842445
00:08:47.0,7.632,1,0.020133,1353.854014
00:08:48.0,7.625,1,0.020115,1353.822663
00:08:49.0,7.62,1,0.0201,1353.944563
00:08:50.0,7.612,1,0.020079,1353.937661
00:08:51.0,7.607,1,0.020066,1353.924905
00:08:52.0,7.6,1,0.020048,1353.893513
00:08:53.0,7.592,1,0.020029,1353.751346
00:08:54.0,7.588,1,0.020017,1353.849228
00:08:55.0,7.582,1,0.02,1353.928571
00:08:56.0,7.574,1,0.01998,1353.853854
00:08:57.0,7.567,1,0.019961,1353.890086
00:08:58.0,7.559,1,0.019941,1353.815183
00:08:59.0,7.55,1,0.019916,1353.900669
00:09:00.0,7.541,1,0.019893,1353.850242
00:09:01.0,7.532,1,0.019868,1353.935977
00:09:02.0,7.523,1,0.019847,1353.749037
00:09:03.0,7.516,1,0.019827,1353.853692
00:09:04.0,7.506,1,0.019801,1353.827729
00:09:05.0,7.502,1,0.019789,1353.926785
00:09:06.0,7.495,1,0.019773,1353.758011
00:09:07.0,7.489,1,0.019757,1353.769731
00:09:08.0,7.484,1,0.019742,1353.893801
00:09:09.0,7.478,1,0.019726,1353.90565
00:09:10.0,7.469,1,0.019702,1353.92346
00:09:11.0,7.463,1,0.019688,1353.797817
